date,incidence_rate
2015-01-05,0.0026196
2015-01-12,0.000833
2015-01-19,0.002195
2015-01-26,0.0014152
2015-02-02,0.0016327
2015-02-09,0.0015016
2015-02-16,0.0037536
2015-02-23,0.0017389
2015-03-02,0.0009847
2015-03-09,0.0006568
2015-03-16,0.0010228
2015-03-23,0.0015687
2015-03-30,0.00139
2015-04-06,0.0013054
2015-04-13,0.0014133
2015-04-20,0.0016796
2015-04-27,0.001207
2015-05-04,0.0012975
2015-05-11,0.0008023
2015-05-18,0.0018044
2015-05-25,0.0025438
2015-06-01,0.0023659
2015-06-08,0.0013544
2015-06-15,0.0009755
2015-06-22,0.0013462
2015-06-29,0.0012624
2015-07-06,0.0031327
2015-07-13,0.0016267
2015-07-20,0.0010425
2015-07-27,0.0010869
2015-08-03,0.0023969
2015-08-10,0.0032122
2015-08-17,0.001954
2015-08-24,0.0014112
2015-08-31,0.0021583
2015-09-07,0.0015127
2015-09-14,0.0021612
2015-09-21,0.0009359
2015-09-28,0.0031818
2015-10-05,0.0010967
2015-10-12,0.0011721
2015-10-19,0.0013388
2015-10-26,0.0004731
2015-11-02,0.0017776
2015-11-09,0.0012116
2015-11-16,0.0009992
2015-11-23,0.0015064
2015-11-30,0.0010259
2015-12-07,0.0012257
2015-12-14,0.0007645
2015-12-21,0.0013131
2015-12-28,0.0020565
2016-01-04,0.0008469
2016-01-11,0.0024967
2016-01-18,0.0025228
2016-01-25,0.0017487
2016-02-01,0.0020664
2016-02-08,0.0021562
2016-02-15,0.0023245
2016-02-22,0.0022852
2016-02-29,0.0035093
2016-03-07,0.0012118
2016-03-14,0.0006196
2016-03-21,0.0029318
2016-03-28,0.0014064
2016-04-04,0.0020708
2016-04-11,0.0012952
2016-04-18,0.0040377
2016-04-25,0.0007283
2016-05-02,0.0015966
2016-05-09,0.0012593
2016-05-16,0.0013735
2016-05-23,0.0011046
2016-05-30,0.001589
2016-06-06,0.001997
2016-06-13,0.0015125
2016-06-20,0.0006808
2016-06-27,0.0013165
2016-07-04,0.0031851
2016-07-11,0.0007193
2016-07-18,0.0017902
2016-07-25,0.0013509
2016-08-01,0.0016736
2016-08-08,0.0018751
2016-08-15,0.0015298
2016-08-22,0.0015466
2016-08-29,0.0013868
2016-09-05,0.0032885
2016-09-12,0.0014178
2016-09-19,0.0007402
2016-09-26,0.0020423
2016-10-03,0.0021032
2016-10-10,0.0015866
2016-10-17,0.0019795
2016-10-24,0.0012227
2016-10-31,0.0021862
2016-11-07,0.0013898
2016-11-14,0.001142
2016-11-21,0.0019373
2016-11-28,0.0027228
2016-12-05,0.0024393
2016-12-12,0.0014599
2016-12-19,0.0010058
2016-12-26,0.0020395
2017-01-02,0.0019386
2017-01-09,0.0018281
2017-01-16,0.0008432
2017-01-23,0.0029438
2017-01-30,0.0014864
2017-02-06,0.0035145
2017-02-13,0.0015349
2017-02-20,0.0007931
2017-02-27,0.001474
2017-03-06,0.0010496
2017-03-13,0.0011825
2017-03-20,0.0012366
2017-03-27,0.002002
2017-04-03,0.0014024
2017-04-10,0.0019548
2017-04-17,0.0007086
2017-04-24,0.0012785
2017-05-01,0.002265
2017-05-08,0.0010619
2017-05-15,0.0012639
2017-05-22,0.0008849
2017-05-29,0.0009764
2017-06-05,0.0016549
2017-06-12,0.001379
2017-06-19,0.0030348
2017-06-26,0.0018841
2017-07-03,0.0024829
2017-07-10,0.0012093
2017-07-17,0.0012194
2017-07-24,0.0023791
2017-07-31,0.001384
2017-08-07,0.0014178
2017-08-14,0.002356
2017-08-21,0.0016893
2017-08-28,0.0014802
2017-09-04,0.001878
